Lead ID,Lead Name,Email,Phone,Lead Source,Status,Created Date,Converted Date,Assigned To
L1,Sara Smith,lucaswarren@yahoo.com,8068652764,Email Campaign,Converted,2024-11-06,2024-12-03,Agent 4
L2,Stacie Harper,georgecox@gmail.com,(813)535-7912x5822,Website,Contacted,2024-12-28,2024-12-09,Agent 1
L3,Lori Rodriguez,phillipsamber@yahoo.com,004-217-9466x8448,Website,Lost,2024-12-22,2025-01-14,Agent 6
L4,Felicia Diaz,henryjohnson@hotmail.com,(730)841-6966x59152,Email Campaign,Contacted,2025-02-03,,Agent 7
L5,Erin Cruz,annfoley@hotmail.com,520-460-0478,Email Campaign,Converted,2024-12-12,,Agent 1
L6,Megan Smith,rruiz@jenkins.info,337.360.2074,Website,Converted,2025-02-11,2025-01-14,Agent 4
L7,Alexander Martinez,krodriguez@campbell-campbell.com,+1-336-942-3217x16571,Referral,New,2025-01-31,2025-01-03,Agent 7
L8,Adam Hood,angel08@gmail.com,+1-259-585-3826x6593,Social Media,Lost,2024-10-19,,Agent 9
L9,Maria Ross,csmith@gmail.com,+1-256-876-8551x386,Email Campaign,Contacted,2024-12-01,2025-01-19,Agent 9
L10,Michelle Peters,baileyheather@yahoo.com,(131)551-8993x57300,Website,Contacted,2024-10-17,,Agent 3
L11,Mrs. Karen Lester,jonescraig@campos.net,+1-926-180-5147x4594,Cold Call,Converted,2025-01-16,,Agent 7
L12,Michael Dennis,ashlee06@gmail.com,001-442-010-5013,Website,Converted,2025-01-17,,Agent 3
L13,Raymond Davies,morrisandrew@king.com,(623)687-4661x3675,Cold Call,Contacted,2024-08-30,2024-12-11,Agent 8
L14,Ryan Landry,morenobryan@livingston.net,001-558-405-7429,Website,Qualified,2024-12-07,2025-02-01,Agent 2
L15,Craig Chen,jbowen@hotmail.com,001-181-769-9124,Referral,Contacted,2025-01-01,2024-12-07,Agent 10
L16,Kenneth Norman,andersonshaun@hancock-zavala.info,859.532.8207,Social Media,Lost,2024-10-27,2025-01-12,Agent 7
L17,Kevin Ross,townsendcarlos@yahoo.com,001-661-212-4095x614,Referral,Qualified,2024-10-01,2024-12-01,Agent 2
L18,Robert Vasquez,tyler90@gmail.com,(571)623-0866,Social Media,Converted,2024-11-16,2025-01-10,Agent 2
L19,Margaret Thompson,ashley93@shaw-hull.net,617.898.6382,Cold Call,Contacted,2024-11-15,2025-01-04,Agent 5
L20,Laura Hernandez,omckenzie@gmail.com,001-274-650-9602x95805,Email Campaign,Lost,2024-11-06,,Agent 5
L21,Gregory Savage,deannacastillo@morgan.biz,1908450097,Cold Call,Lost,2024-10-19,2025-02-09,Agent 1
L22,Lisa Atkinson,leekathryn@yahoo.com,+1-659-022-2156x98149,Referral,Contacted,2024-12-02,2024-12-06,Agent 1
L23,Eric Hernandez Jr.,nmichael@gmail.com,001-248-705-4950,Website,Contacted,2024-12-10,2024-12-16,Agent 2
L24,Debra Lee,gwalsh@gmail.com,420.971.7950x6450,Website,Contacted,2024-11-07,,Agent 3
L25,Sara George,stephanie49@campos.biz,740.302.4185x974,Social Media,Lost,2024-10-26,2025-01-17,Agent 8
L26,Jennifer Smith,perezvictoria@morris-torres.com,+1-450-529-5531x6966,Website,Contacted,2024-10-29,,Agent 2
L27,Daniel Myers,michelle80@wilkinson.biz,091.484.2756x619,Cold Call,Lost,2024-09-18,,Agent 10
L28,Michelle Delgado,fmaynard@yahoo.com,856-116-9818x6155,Cold Call,Converted,2025-01-17,2025-02-15,Agent 10
L29,Austin Casey,ian74@bell-greer.info,+1-949-021-4777x9118,Referral,Lost,2025-01-24,2024-11-29,Agent 3
L30,Kathleen Clark,sarahdavis@stewart.com,624.351.0677x27753,Website,New,2024-11-15,2025-01-19,Agent 9
L31,Olivia Vazquez,sheri95@hotmail.com,001-099-049-0627x4444,Website,Converted,2024-08-23,2024-12-18,Agent 3
L32,Jesus Marshall,mallory67@hotmail.com,333-741-5320,Website,Qualified,2025-02-03,,Agent 8
L33,Ronald Lutz,andrew52@yahoo.com,414-672-6432x39945,Email Campaign,Contacted,2024-12-21,,Agent 9
L34,Nicole Lee,mullinsgrant@holmes.biz,(004)351-9477x781,Cold Call,Lost,2024-09-02,,Agent 10
L35,Paul Thompson,brettwilliams@becker-calderon.net,+1-205-112-0779x19795,Cold Call,Converted,2024-09-23,,Agent 10
L36,Dustin White,ydavis@yahoo.com,142-715-9761x0725,Cold Call,New,2025-02-15,2025-01-03,Agent 4
